model,layer,language,token_count,vocab_percentage,avg_similarity,match_rate_pct,match_count,total_sampled
Qwen/Qwen2.5-7B-Instruct,26,spanish,38179,25.11,0.021644,0.96,368,38179
Qwen/Qwen2.5-7B-Instruct,26,chinese,25809,16.97,0.021007,15.88,4099,25809
Qwen/Qwen2.5-7B-Instruct,26,french,24408,16.05,0.020687,0.66,160,24408
Qwen/Qwen2.5-7B-Instruct,26,german,26640,17.52,0.020667,0.31,83,26640
Qwen/Qwen2.5-7B-Instruct,27,english,30212,19.87,0.020322,60.76,18357,30212
Qwen/Qwen2.5-7B-Instruct,27,spanish,42714,28.09,0.020409,0.85,365,42714
Qwen/Qwen2.5-7B-Instruct,27,chinese,29101,19.14,0.020619,14.59,4247,29101
Qwen/Qwen2.5-7B-Instruct,27,french,24605,16.18,0.020354,0.73,180,24605
Qwen/Qwen2.5-7B-Instruct,27,german,25432,16.72,0.01978,0.37,93,25432
Qwen/Qwen2.5-Math-7B-Instruct,0,english,5711,3.76,0.01761,73.7,4209,5711
Qwen/Qwen2.5-Math-7B-Instruct,0,spanish,42981,28.27,0.019777,0.99,427,42981
Qwen/Qwen2.5-Math-7B-Instruct,0,chinese,23106,15.19,0.018662,18.44,4260,23106
Qwen/Qwen2.5-Math-7B-Instruct,0,french,55146,36.26,0.019075,0.73,405,55146
Qwen/Qwen2.5-Math-7B-Instruct,0,german,25120,16.52,0.018339,0.3,76,25120
Qwen/Qwen2.5-Math-7B-Instruct,1,english,36272,23.85,0.018477,61.85,22435,36272
Qwen/Qwen2.5-Math-7B-Instruct,1,spanish,14600,9.6,0.016968,0.66,97,14600
Qwen/Qwen2.5-Math-7B-Instruct,1,chinese,12923,8.5,0.017611,16.79,2170,12923
Qwen/Qwen2.5-Math-7B-Instruct,1,french,36976,24.32,0.018617,0.75,278,36976
Qwen/Qwen2.5-Math-7B-Instruct,1,german,51293,33.73,0.018041,0.21,108,51293
Qwen/Qwen2.5-Math-7B-Instruct,2,english,28353,18.65,0.015189,65.31,18516,28353
Qwen/Qwen2.5-Math-7B-Instruct,2,spanish,28541,18.77,0.014732,0.72,206,28541
Qwen/Qwen2.5-Math-7B-Instruct,2,chinese,9539,6.27,0.01449,17.94,1711,9539
Qwen/Qwen2.5-Math-7B-Instruct,2,french,44886,29.52,0.014053,0.74,331,44886
Qwen/Qwen2.5-Math-7B-Instruct,2,german,40745,26.79,0.014895,0.31,128,40745
Qwen/Qwen2.5-Math-7B-Instruct,3,english,31925,20.99,0.020199,63.88,20393,31925
Qwen/Qwen2.5-Math-7B-Instruct,3,spanish,14516,9.55,0.018192,0.65,94,14516
Qwen/Qwen2.5-Math-7B-Instruct,3,chinese,24186,15.91,0.019952,16.77,4057,24186
Qwen/Qwen2.5-Math-7B-Instruct,3,french,32739,21.53,0.019697,0.82,270,32739
Qwen/Qwen2.5-Math-7B-Instruct,3,german,48698,32.02,0.01934,0.24,119,48698
Qwen/Qwen2.5-Math-7B-Instruct,4,english,34196,22.49,0.019741,62.28,21296,34196
Qwen/Qwen2.5-Math-7B-Instruct,4,spanish,15896,10.45,0.018545,0.57,91,15896
Qwen/Qwen2.5-Math-7B-Instruct,4,chinese,35629,23.43,0.020149,17.01,6060,35629
Qwen/Qwen2.5-Math-7B-Instruct,4,french,21116,13.89,0.018545,0.67,142,21116
Qwen/Qwen2.5-Math-7B-Instruct,4,german,45227,29.74,0.018261,0.24,109,45227
Qwen/Qwen2.5-Math-7B-Instruct,5,english,37241,24.49,0.015026,60.57,22558,37241
Qwen/Qwen2.5-Math-7B-Instruct,5,spanish,13138,8.64,0.014293,0.62,81,13138
Qwen/Qwen2.5-Math-7B-Instruct,5,chinese,59240,38.96,0.015388,15.66,9275,59240
Qwen/Qwen2.5-Math-7B-Instruct,5,french,26726,17.58,0.014334,0.7,188,26726
Qwen/Qwen2.5-Math-7B-Instruct,5,german,15719,10.34,0.014303,0.25,39,15719
Qwen/Qwen2.5-Math-7B-Instruct,6,english,22404,14.73,0.013476,61.7,13823,22404
Qwen/Qwen2.5-Math-7B-Instruct,6,spanish,15070,9.91,0.01295,0.6,90,15070
Qwen/Qwen2.5-Math-7B-Instruct,6,chinese,46613,30.65,0.013612,15.15,7060,46613
Qwen/Qwen2.5-Math-7B-Instruct,6,french,29908,19.67,0.013257,0.78,232,29908
Qwen/Qwen2.5-Math-7B-Instruct,6,german,38069,25.03,0.01344,0.19,72,38069
Qwen/Qwen2.5-Math-7B-Instruct,7,english,20446,13.45,0.015262,62.45,12769,20446
Qwen/Qwen2.5-Math-7B-Instruct,7,spanish,27310,17.96,0.01504,0.65,177,27310
Qwen/Qwen2.5-Math-7B-Instruct,7,chinese,59790,39.32,0.015717,15.52,9279,59790
Qwen/Qwen2.5-Math-7B-Instruct,7,french,24224,15.93,0.014948,0.83,200,24224
Qwen/Qwen2.5-Math-7B-Instruct,7,german,20294,13.35,0.014639,0.27,54,20294
Qwen/Qwen2.5-Math-7B-Instruct,8,english,78802,51.82,0.015948,53.89,42466,78802
Qwen/Qwen2.5-Math-7B-Instruct,8,spanish,9778,6.43,0.013319,0.54,53,9778
Qwen/Qwen2.5-Math-7B-Instruct,8,chinese,19695,12.95,0.014321,15.72,3097,19695
Qwen/Qwen2.5-Math-7B-Instruct,8,french,22759,14.97,0.013779,0.58,131,22759
Qwen/Qwen2.5-Math-7B-Instruct,8,german,21030,13.83,0.013633,0.25,53,21030
Qwen/Qwen2.5-Math-7B-Instruct,9,english,26560,17.47,0.017222,61.25,16267,26560
Qwen/Qwen2.5-Math-7B-Instruct,9,spanish,13592,8.94,0.016001,0.68,93,13592
Qwen/Qwen2.5-Math-7B-Instruct,9,chinese,48638,31.99,0.018326,15.66,7617,48638
Qwen/Qwen2.5-Math-7B-Instruct,9,french,53943,35.47,0.017442,0.67,360,53943
Qwen/Qwen2.5-Math-7B-Instruct,9,german,9331,6.14,0.015173,0.24,22,9331
Qwen/Qwen2.5-Math-7B-Instruct,10,english,16592,10.91,0.018581,64.68,10732,16592
Qwen/Qwen2.5-Math-7B-Instruct,10,spanish,14489,9.53,0.018067,0.65,94,14489
Qwen/Qwen2.5-Math-7B-Instruct,10,chinese,60701,39.92,0.020941,15.15,9198,60701
Qwen/Qwen2.5-Math-7B-Instruct,10,french,52344,34.42,0.019975,0.71,370,52344
Qwen/Qwen2.5-Math-7B-Instruct,10,german,7938,5.22,0.016812,0.14,11,7938
Qwen/Qwen2.5-Math-7B-Instruct,11,english,42966,28.26,0.012028,51.88,22291,42966
Qwen/Qwen2.5-Math-7B-Instruct,11,spanish,10958,7.21,0.013602,0.58,64,10958
Qwen/Qwen2.5-Math-7B-Instruct,11,chinese,27444,18.05,0.014183,15.65,4295,27444
Qwen/Qwen2.5-Math-7B-Instruct,11,french,37029,24.35,0.013763,0.71,263,37029
Qwen/Qwen2.5-Math-7B-Instruct,11,german,33667,22.14,0.013311,0.23,77,33667
Qwen/Qwen2.5-Math-7B-Instruct,12,english,34264,22.53,0.01761,57.45,19686,34264
Qwen/Qwen2.5-Math-7B-Instruct,12,spanish,11858,7.8,0.016139,0.7,83,11858
Qwen/Qwen2.5-Math-7B-Instruct,12,chinese,18751,12.33,0.017618,16.17,3032,18751
Qwen/Qwen2.5-Math-7B-Instruct,12,french,63891,42.02,0.018358,0.69,439,63891
Qwen/Qwen2.5-Math-7B-Instruct,12,german,23300,15.32,0.017074,0.18,42,23300
Qwen/Qwen2.5-Math-7B-Instruct,13,english,19576,12.87,0.01847,62.09,12154,19576
Qwen/Qwen2.5-Math-7B-Instruct,13,spanish,17401,11.44,0.017949,0.95,166,17401
Qwen/Qwen2.5-Math-7B-Instruct,13,chinese,57608,37.88,0.019194,15.38,8859,57608
Qwen/Qwen2.5-Math-7B-Instruct,13,french,33252,21.87,0.018764,0.72,241,33252
Qwen/Qwen2.5-Math-7B-Instruct,13,german,24227,15.93,0.018523,0.21,50,24227
Qwen/Qwen2.5-Math-7B-Instruct,14,english,30329,19.94,0.019753,61.84,18755,30329
Qwen/Qwen2.5-Math-7B-Instruct,14,spanish,7348,4.83,0.017506,0.79,58,7348
Qwen/Qwen2.5-Math-7B-Instruct,14,chinese,27372,18.0,0.019943,16.93,4633,27372
Qwen/Qwen2.5-Math-7B-Instruct,14,french,67459,44.36,0.020414,0.74,499,67459
Qwen/Qwen2.5-Math-7B-Instruct,14,german,19556,12.86,0.018483,0.26,51,19556
Qwen/Qwen2.5-Math-7B-Instruct,15,english,20935,13.77,0.013118,63.84,13364,20935
Qwen/Qwen2.5-Math-7B-Instruct,15,spanish,15192,9.99,0.012584,0.78,118,15192
Qwen/Qwen2.5-Math-7B-Instruct,15,chinese,16114,10.6,0.013253,15.89,2560,16114
Qwen/Qwen2.5-Math-7B-Instruct,15,french,55360,36.41,0.012772,0.78,430,55360
Qwen/Qwen2.5-Math-7B-Instruct,15,german,44463,29.24,0.013426,0.24,106,44463
Qwen/Qwen2.5-Math-7B-Instruct,16,english,18160,11.94,0.015752,63.55,11540,18160
Qwen/Qwen2.5-Math-7B-Instruct,16,spanish,26046,17.13,0.015757,0.9,235,26046
Qwen/Qwen2.5-Math-7B-Instruct,16,chinese,55899,36.76,0.016211,15.09,8437,55899
Qwen/Qwen2.5-Math-7B-Instruct,16,french,29416,19.34,0.015807,0.66,195,29416
Qwen/Qwen2.5-Math-7B-Instruct,16,german,22543,14.82,0.015764,0.26,58,22543
Qwen/Qwen2.5-Math-7B-Instruct,17,english,23625,15.54,0.015259,62.92,14866,23625
Qwen/Qwen2.5-Math-7B-Instruct,17,spanish,20984,13.8,0.014726,0.92,194,20984
Qwen/Qwen2.5-Math-7B-Instruct,17,chinese,22015,14.48,0.015492,16.35,3599,22015
Qwen/Qwen2.5-Math-7B-Instruct,17,french,47829,31.45,0.014406,0.72,343,47829
Qwen/Qwen2.5-Math-7B-Instruct,17,german,37611,24.73,0.015305,0.28,107,37611
Qwen/Qwen2.5-Math-7B-Instruct,18,english,31341,20.61,0.019409,61.58,19301,31341
Qwen/Qwen2.5-Math-7B-Instruct,18,spanish,12197,8.02,0.017215,0.83,101,12197
Qwen/Qwen2.5-Math-7B-Instruct,18,chinese,30468,20.04,0.019956,16.36,4985,30468
Qwen/Qwen2.5-Math-7B-Instruct,18,french,48551,31.93,0.018598,0.7,338,48551
Qwen/Qwen2.5-Math-7B-Instruct,18,german,29507,19.4,0.019045,0.22,64,29507
Qwen/Qwen2.5-Math-7B-Instruct,19,english,11665,7.67,0.013023,66.3,7734,11665
Qwen/Qwen2.5-Math-7B-Instruct,19,spanish,9126,6.0,0.012364,0.77,70,9126
Qwen/Qwen2.5-Math-7B-Instruct,19,chinese,45549,29.95,0.015614,16.21,7385,45549
Qwen/Qwen2.5-Math-7B-Instruct,19,french,64208,42.22,0.014451,0.8,511,64208
Qwen/Qwen2.5-Math-7B-Instruct,19,german,21516,14.15,0.013993,0.15,33,21516
Qwen/Qwen2.5-Math-7B-Instruct,20,english,7765,5.11,0.015698,68.32,5305,7765
Qwen/Qwen2.5-Math-7B-Instruct,20,spanish,13138,8.64,0.015341,0.85,112,13138
Qwen/Qwen2.5-Math-7B-Instruct,20,chinese,42151,27.72,0.018117,15.74,6634,42151
Qwen/Qwen2.5-Math-7B-Instruct,20,french,61476,40.43,0.017226,0.75,460,61476
Qwen/Qwen2.5-Math-7B-Instruct,20,german,27534,18.11,0.016707,0.26,71,27534
Qwen/Qwen2.5-Math-7B-Instruct,21,english,4175,2.75,0.017186,72.79,3039,4175
Qwen/Qwen2.5-Math-7B-Instruct,21,spanish,17756,11.68,0.018169,0.81,144,17756
Qwen/Qwen2.5-Math-7B-Instruct,21,chinese,63073,41.48,0.021375,15.25,9619,63073
Qwen/Qwen2.5-Math-7B-Instruct,21,french,18867,12.41,0.01824,0.7,133,18867
Qwen/Qwen2.5-Math-7B-Instruct,21,german,48193,31.69,0.019811,0.21,102,48193
Qwen/Qwen2.5-Math-7B-Instruct,22,english,5189,3.41,0.018071,72.25,3749,5189
Qwen/Qwen2.5-Math-7B-Instruct,22,spanish,6120,4.02,0.016791,0.54,33,6120
Qwen/Qwen2.5-Math-7B-Instruct,22,chinese,87353,57.44,0.022932,15.69,13708,87353
Qwen/Qwen2.5-Math-7B-Instruct,22,french,17107,11.25,0.018364,0.87,148,17107
Qwen/Qwen2.5-Math-7B-Instruct,22,german,36295,23.87,0.020485,0.22,81,36295
Qwen/Qwen2.5-Math-7B-Instruct,23,english,13609,8.95,0.015886,65.71,8942,13609
Qwen/Qwen2.5-Math-7B-Instruct,23,spanish,8911,5.86,0.014626,0.93,83,8911
Qwen/Qwen2.5-Math-7B-Instruct,23,chinese,20034,13.17,0.016914,16.96,3397,20034
Qwen/Qwen2.5-Math-7B-Instruct,23,french,22911,15.07,0.016631,0.84,193,22911
Qwen/Qwen2.5-Math-7B-Instruct,23,german,86599,56.95,0.019628,0.23,202,86599
Qwen/Qwen2.5-Math-7B-Instruct,24,english,12990,8.54,0.013502,66.39,8624,12990
Qwen/Qwen2.5-Math-7B-Instruct,24,spanish,12163,8.0,0.013332,1.06,129,12163
Qwen/Qwen2.5-Math-7B-Instruct,24,chinese,33433,21.99,0.014668,16.15,5399,33433
Qwen/Qwen2.5-Math-7B-Instruct,24,french,45400,29.86,0.013899,0.73,333,45400
Qwen/Qwen2.5-Math-7B-Instruct,24,german,48078,31.62,0.014993,0.33,159,48078
Qwen/Qwen2.5-Math-7B-Instruct,25,english,49553,32.59,0.017349,54.7,27106,49553
Qwen/Qwen2.5-Math-7B-Instruct,25,spanish,12472,8.2,0.016184,1.12,140,12472
Qwen/Qwen2.5-Math-7B-Instruct,25,chinese,7925,5.21,0.015459,16.95,1343,7925
Qwen/Qwen2.5-Math-7B-Instruct,25,french,35286,23.2,0.018277,0.78,276,35286
Qwen/Qwen2.5-Math-7B-Instruct,25,german,46828,30.79,0.018602,0.34,159,46828
Qwen/Qwen2.5-Math-7B-Instruct,26,english,14440,9.5,0.019108,65.51,9460,14440
Qwen/Qwen2.5-Math-7B-Instruct,26,spanish,6650,4.37,0.018373,1.07,71,6650
Qwen/Qwen2.5-Math-7B-Instruct,26,chinese,21985,14.46,0.020457,16.61,3652,21985
Qwen/Qwen2.5-Math-7B-Instruct,26,french,69938,45.99,0.0227,0.76,530,69938
Qwen/Qwen2.5-Math-7B-Instruct,26,german,39051,25.68,0.022026,0.36,139,39051
Qwen/Qwen2.5-Math-7B-Instruct,27,english,19318,12.7,0.016541,64.45,12450,19318
Qwen/Qwen2.5-Math-7B-Instruct,27,spanish,6252,4.11,0.016296,1.2,75,6252
Qwen/Qwen2.5-Math-7B-Instruct,27,chinese,11760,7.73,0.015842,17.9,2105,11760
Qwen/Qwen2.5-Math-7B-Instruct,27,french,27173,17.87,0.017995,0.82,223,27173
Qwen/Qwen2.5-Math-7B-Instruct,27,german,87561,57.58,0.020469,0.26,228,87561
nvidia/OpenMath2-Llama3.1-8B,0,english,14516,11.32,0.017888,77.9,11308,14516
nvidia/OpenMath2-Llama3.1-8B,0,spanish,16854,13.14,0.017862,0.88,149,16854
nvidia/OpenMath2-Llama3.1-8B,0,chinese,33620,26.21,0.020087,3.56,1197,33620
nvidia/OpenMath2-Llama3.1-8B,0,french,35253,27.49,0.02002,0.72,254,35253
nvidia/OpenMath2-Llama3.1-8B,0,german,28013,21.84,0.019208,0.24,67,28013
nvidia/OpenMath2-Llama3.1-8B,1,english,16116,12.57,0.017209,77.08,12422,16116
nvidia/OpenMath2-Llama3.1-8B,1,spanish,21485,16.75,0.017493,1.18,253,21485
nvidia/OpenMath2-Llama3.1-8B,1,chinese,14308,11.16,0.016979,2.73,391,14308
nvidia/OpenMath2-Llama3.1-8B,1,french,50560,39.42,0.020356,0.92,465,50560
nvidia/OpenMath2-Llama3.1-8B,1,german,25787,20.11,0.018098,0.19,48,25787
nvidia/OpenMath2-Llama3.1-8B,2,english,25976,20.25,0.019058,74.57,19371,25976
nvidia/OpenMath2-Llama3.1-8B,2,spanish,23142,18.04,0.019097,1.06,245,23142
nvidia/OpenMath2-Llama3.1-8B,2,chinese,14979,11.68,0.017736,2.8,419,14979
nvidia/OpenMath2-Llama3.1-8B,2,french,45408,35.4,0.021388,0.85,386,45408
nvidia/OpenMath2-Llama3.1-8B,2,german,18751,14.62,0.018137,0.19,35,18751
nvidia/OpenMath2-Llama3.1-8B,3,english,20352,15.87,0.019184,77.33,15739,20352
nvidia/OpenMath2-Llama3.1-8B,3,spanish,22902,17.86,0.019177,1.41,323,22902
nvidia/OpenMath2-Llama3.1-8B,3,chinese,47212,36.81,0.022389,3.38,1598,47212
nvidia/OpenMath2-Llama3.1-8B,3,french,28090,21.9,0.019786,0.76,213,28090
nvidia/OpenMath2-Llama3.1-8B,3,german,9700,7.56,0.017553,0.13,13,9700
nvidia/OpenMath2-Llama3.1-8B,4,english,16545,12.9,0.017899,76.82,12710,16545
nvidia/OpenMath2-Llama3.1-8B,4,spanish,26612,20.75,0.018873,1.58,421,26612
nvidia/OpenMath2-Llama3.1-8B,4,chinese,49585,38.66,0.021775,3.53,1751,49585
nvidia/OpenMath2-Llama3.1-8B,4,french,20626,16.08,0.018615,0.55,113,20626
nvidia/OpenMath2-Llama3.1-8B,4,german,14888,11.61,0.017855,0.19,29,14888
nvidia/OpenMath2-Llama3.1-8B,5,english,11405,8.89,0.017778,79.53,9070,11405
nvidia/OpenMath2-Llama3.1-8B,5,spanish,20240,15.78,0.019254,1.52,308,20240
nvidia/OpenMath2-Llama3.1-8B,5,chinese,45641,35.59,0.022087,3.44,1572,45641
nvidia/OpenMath2-Llama3.1-8B,5,french,29003,22.61,0.020224,0.71,205,29003
nvidia/OpenMath2-Llama3.1-8B,5,german,21967,17.13,0.019664,0.2,45,21967
nvidia/OpenMath2-Llama3.1-8B,6,english,10244,7.99,0.017416,82.62,8464,10244
nvidia/OpenMath2-Llama3.1-8B,6,spanish,17266,13.46,0.018364,1.33,229,17266
nvidia/OpenMath2-Llama3.1-8B,6,chinese,49402,38.52,0.022462,3.52,1738,49402
nvidia/OpenMath2-Llama3.1-8B,6,french,32124,25.05,0.020474,0.77,248,32124
nvidia/OpenMath2-Llama3.1-8B,6,german,19220,14.99,0.019138,0.23,44,19220
nvidia/OpenMath2-Llama3.1-8B,7,english,12835,10.01,0.018849,80.94,10389,12835
nvidia/OpenMath2-Llama3.1-8B,7,spanish,11297,8.81,0.017952,0.95,107,11297
nvidia/OpenMath2-Llama3.1-8B,7,chinese,69129,53.9,0.025903,3.68,2543,69129
nvidia/OpenMath2-Llama3.1-8B,7,french,19494,15.2,0.019743,0.59,115,19494
nvidia/OpenMath2-Llama3.1-8B,7,german,15501,12.09,0.019451,0.19,30,15501
nvidia/OpenMath2-Llama3.1-8B,8,english,22783,17.76,0.020073,74.81,17045,22783
nvidia/OpenMath2-Llama3.1-8B,8,spanish,8411,6.56,0.018242,0.59,50,8411
nvidia/OpenMath2-Llama3.1-8B,8,chinese,58568,45.66,0.024539,3.6,2109,58568
nvidia/OpenMath2-Llama3.1-8B,8,french,16493,12.86,0.019113,0.5,82,16493
nvidia/OpenMath2-Llama3.1-8B,8,german,22001,17.15,0.020227,0.19,41,22001
nvidia/OpenMath2-Llama3.1-8B,9,english,17706,13.81,0.01896,76.58,13559,17706
nvidia/OpenMath2-Llama3.1-8B,9,spanish,9876,7.7,0.017541,0.69,68,9876
nvidia/OpenMath2-Llama3.1-8B,9,chinese,68463,53.38,0.024769,3.76,2576,68463
nvidia/OpenMath2-Llama3.1-8B,9,french,15759,12.29,0.01858,0.53,83,15759
nvidia/OpenMath2-Llama3.1-8B,9,german,16452,12.83,0.018885,0.18,30,16452
nvidia/OpenMath2-Llama3.1-8B,10,english,16336,12.74,0.019121,75.7,12366,16336
nvidia/OpenMath2-Llama3.1-8B,10,spanish,10745,8.38,0.018625,0.81,87,10745
nvidia/OpenMath2-Llama3.1-8B,10,chinese,68158,53.14,0.025799,3.59,2448,68158
nvidia/OpenMath2-Llama3.1-8B,10,french,17145,13.37,0.019978,0.5,85,17145
nvidia/OpenMath2-Llama3.1-8B,10,german,15872,12.38,0.019575,0.21,34,15872
nvidia/OpenMath2-Llama3.1-8B,11,english,15645,12.2,0.019053,75.89,11873,15645
nvidia/OpenMath2-Llama3.1-8B,11,spanish,14472,11.28,0.018347,1.16,168,14472
nvidia/OpenMath2-Llama3.1-8B,11,chinese,68900,53.72,0.025412,3.67,2530,68900
nvidia/OpenMath2-Llama3.1-8B,11,french,13200,10.29,0.01845,0.42,55,13200
nvidia/OpenMath2-Llama3.1-8B,11,german,16039,12.51,0.01894,0.16,25,16039
nvidia/OpenMath2-Llama3.1-8B,12,english,19344,15.08,0.020949,73.86,14288,19344
nvidia/OpenMath2-Llama3.1-8B,12,spanish,16064,12.52,0.02024,0.92,148,16064
nvidia/OpenMath2-Llama3.1-8B,12,chinese,63420,49.45,0.026298,3.7,2344,63420
nvidia/OpenMath2-Llama3.1-8B,12,french,15637,12.19,0.020102,0.51,79,15637
nvidia/OpenMath2-Llama3.1-8B,12,german,13791,10.75,0.019496,0.21,29,13791
nvidia/OpenMath2-Llama3.1-8B,13,english,17521,13.66,0.019484,75.0,13140,17521
nvidia/OpenMath2-Llama3.1-8B,13,spanish,24412,19.03,0.019935,1.24,302,24412
nvidia/OpenMath2-Llama3.1-8B,13,chinese,57140,44.55,0.024018,3.64,2082,57140
nvidia/OpenMath2-Llama3.1-8B,13,french,14423,11.25,0.018378,0.54,78,14423
nvidia/OpenMath2-Llama3.1-8B,13,german,14760,11.51,0.018497,0.22,33,14760
nvidia/OpenMath2-Llama3.1-8B,14,english,25652,20.0,0.020004,70.96,18202,25652
nvidia/OpenMath2-Llama3.1-8B,14,spanish,26649,20.78,0.019778,1.1,293,26649
nvidia/OpenMath2-Llama3.1-8B,14,chinese,37297,29.08,0.021467,3.37,1258,37297
nvidia/OpenMath2-Llama3.1-8B,14,french,13122,10.23,0.017987,0.56,74,13122
nvidia/OpenMath2-Llama3.1-8B,14,german,25536,19.91,0.019611,0.25,64,25536
nvidia/OpenMath2-Llama3.1-8B,15,english,20818,16.23,0.018899,72.48,15089,20818
nvidia/OpenMath2-Llama3.1-8B,15,spanish,26161,20.4,0.019235,1.2,315,26161
nvidia/OpenMath2-Llama3.1-8B,15,chinese,40684,31.72,0.021362,3.26,1327,40684
nvidia/OpenMath2-Llama3.1-8B,15,french,17645,13.76,0.018773,0.61,108,17645
nvidia/OpenMath2-Llama3.1-8B,15,german,22948,17.89,0.019027,0.19,44,22948
nvidia/OpenMath2-Llama3.1-8B,16,english,30167,23.52,0.019835,70.36,21225,30167
nvidia/OpenMath2-Llama3.1-8B,16,spanish,23446,18.28,0.019018,1.04,244,23446
nvidia/OpenMath2-Llama3.1-8B,16,chinese,32591,25.41,0.0204,3.06,997,32591
nvidia/OpenMath2-Llama3.1-8B,16,french,16477,12.85,0.018111,0.48,79,16477
nvidia/OpenMath2-Llama3.1-8B,16,german,25575,19.94,0.01907,0.25,63,25575
nvidia/OpenMath2-Llama3.1-8B,17,english,33212,25.9,0.01968,70.25,23330,33212
nvidia/OpenMath2-Llama3.1-8B,17,spanish,24847,19.37,0.018687,1.3,322,24847
nvidia/OpenMath2-Llama3.1-8B,17,chinese,30154,23.51,0.019786,2.94,886,30154
nvidia/OpenMath2-Llama3.1-8B,17,french,17859,13.92,0.018229,0.57,101,17859
nvidia/OpenMath2-Llama3.1-8B,17,german,22184,17.3,0.018482,0.28,62,22184
nvidia/OpenMath2-Llama3.1-8B,18,english,29867,23.29,0.018808,69.02,20615,29867
nvidia/OpenMath2-Llama3.1-8B,18,spanish,27914,21.76,0.018826,1.5,419,27914
nvidia/OpenMath2-Llama3.1-8B,18,chinese,30397,23.7,0.019282,2.93,892,30397
nvidia/OpenMath2-Llama3.1-8B,18,french,17511,13.65,0.017938,0.62,108,17511
nvidia/OpenMath2-Llama3.1-8B,18,german,22567,17.6,0.01814,0.28,63,22567
nvidia/OpenMath2-Llama3.1-8B,19,english,21683,16.91,0.01938,73.29,15891,21683
nvidia/OpenMath2-Llama3.1-8B,19,spanish,27776,21.66,0.019994,1.27,352,27776
nvidia/OpenMath2-Llama3.1-8B,19,chinese,30868,24.07,0.021162,3.15,973,30868
nvidia/OpenMath2-Llama3.1-8B,19,french,13680,10.67,0.018658,0.56,76,13680
nvidia/OpenMath2-Llama3.1-8B,19,german,34249,26.7,0.020951,0.29,99,34249
nvidia/OpenMath2-Llama3.1-8B,20,english,23158,18.06,0.019536,73.99,17134,23158
nvidia/OpenMath2-Llama3.1-8B,20,spanish,28098,21.91,0.02064,1.56,437,28098
nvidia/OpenMath2-Llama3.1-8B,20,chinese,24099,18.79,0.020347,3.17,763,24099
nvidia/OpenMath2-Llama3.1-8B,20,french,22458,17.51,0.019927,0.69,155,22458
nvidia/OpenMath2-Llama3.1-8B,20,german,30443,23.74,0.020996,0.32,96,30443
nvidia/OpenMath2-Llama3.1-8B,21,english,21688,16.91,0.018041,74.62,16183,21688
nvidia/OpenMath2-Llama3.1-8B,21,spanish,28876,22.51,0.018858,1.39,402,28876
nvidia/OpenMath2-Llama3.1-8B,21,chinese,25791,20.11,0.018863,3.04,783,25791
nvidia/OpenMath2-Llama3.1-8B,21,french,17979,14.02,0.017969,0.56,101,17979
nvidia/OpenMath2-Llama3.1-8B,21,german,33922,26.45,0.019058,0.28,94,33922
nvidia/OpenMath2-Llama3.1-8B,22,english,21550,16.8,0.018047,74.45,16043,21550
nvidia/OpenMath2-Llama3.1-8B,22,spanish,24267,18.92,0.019088,1.51,367,24267
nvidia/OpenMath2-Llama3.1-8B,22,chinese,24636,19.21,0.019434,2.93,721,24636
nvidia/OpenMath2-Llama3.1-8B,22,french,21331,16.63,0.018829,0.74,157,21331
nvidia/OpenMath2-Llama3.1-8B,22,german,36472,28.44,0.020106,0.23,85,36472
nvidia/OpenMath2-Llama3.1-8B,23,english,31382,24.47,0.018022,71.69,22498,31382
nvidia/OpenMath2-Llama3.1-8B,23,spanish,24501,19.1,0.017728,1.38,338,24501
nvidia/OpenMath2-Llama3.1-8B,23,chinese,30264,23.6,0.018449,3.24,981,30264
nvidia/OpenMath2-Llama3.1-8B,23,french,21309,16.61,0.018507,0.66,141,21309
nvidia/OpenMath2-Llama3.1-8B,23,german,20800,16.22,0.017218,0.25,52,20800
nvidia/OpenMath2-Llama3.1-8B,24,english,23166,18.06,0.018466,73.61,17052,23166
nvidia/OpenMath2-Llama3.1-8B,24,spanish,26136,20.38,0.01902,1.51,394,26136
nvidia/OpenMath2-Llama3.1-8B,24,chinese,27903,21.76,0.019238,3.16,881,27903
nvidia/OpenMath2-Llama3.1-8B,24,french,20773,16.2,0.019111,0.62,129,20773
nvidia/OpenMath2-Llama3.1-8B,24,german,30278,23.61,0.019446,0.28,86,30278
nvidia/OpenMath2-Llama3.1-8B,25,english,28553,22.26,0.020026,72.38,20666,28553
nvidia/OpenMath2-Llama3.1-8B,25,spanish,21757,16.96,0.019384,1.35,294,21757
nvidia/OpenMath2-Llama3.1-8B,25,chinese,23981,18.7,0.019934,2.8,671,23981
nvidia/OpenMath2-Llama3.1-8B,25,french,19309,15.06,0.019898,0.67,130,19309
nvidia/OpenMath2-Llama3.1-8B,25,german,34656,27.02,0.020898,0.32,112,34656
nvidia/OpenMath2-Llama3.1-8B,26,english,22260,17.36,0.017641,73.89,16449,22260
nvidia/OpenMath2-Llama3.1-8B,26,spanish,28204,21.99,0.01892,1.38,388,28204
nvidia/OpenMath2-Llama3.1-8B,26,chinese,23735,18.51,0.018569,2.72,645,23735
nvidia/OpenMath2-Llama3.1-8B,26,french,23066,17.98,0.018622,0.78,180,23066
nvidia/OpenMath2-Llama3.1-8B,26,german,30991,24.16,0.018724,0.29,91,30991
